"foodid","foodcategoryid","caloric_value","price","name"
196,2,762,"149.7","Vanessa indica"
197,1,115,"163.89","Dendrocitta vagabunda"
198,3,253,"121.4","Ovis dalli stonei"
199,1,404,"52.21","Tyto novaehollandiae"
200,2,452,"154.5","Lophoaetus occipitalis"
201,2,321,"183.23","Felis concolor"
202,2,247,"9.66","Tadorna tadorna"
203,2,268,"101.46","Choloepus hoffmani"
204,3,265,"156.83","Epicrates cenchria maurus"
205,3,297,"82.17","Martes americana"
206,1,345,"75.91","Ciconia episcopus"
207,2,24,"174.12","Zenaida asiatica"
208,2,311,"156","Falco peregrinus"
209,3,655,"40.02","Bison bison"
210,2,507,"56.73","Vulpes chama"
211,2,247,"146.16","Geochelone radiata"
212,3,831,"176.08","Myiarchus tuberculifer"
213,2,36,"30.5","Coracias caudata"
214,2,988,"105.56","Sarkidornis melanotos"
215,2,370,"108.57","Crotalus cerastes"
216,2,543,"143.15","unavailable"
217,3,685,"194.07","Nucifraga columbiana"
218,2,121,"61.12","Macaca mulatta"
219,1,308,"131.9","Ovis dalli stonei"
220,1,68,"19.59","Callipepla gambelii"
221,2,423,"38.38","Dasyurus maculatus"
222,2,223,"147.48","Fratercula corniculata"
223,3,251,"101.83","Ceratotherium simum"
224,2,953,"189.58","Felis concolor"
225,1,830,"18.67","Chlamydosaurus kingii"
226,3,308,"132.12","Calyptorhynchus magnificus"
227,2,385,"42.54","Ciconia episcopus"
228,2,491,"199.04","Felis libyca"
229,3,551,"130.79","Antechinus flavipes"
230,3,8,"170.3","Ciconia ciconia"
231,1,179,"174.07","Haematopus ater"
232,1,903,"80.04","Hystrix indica"
233,2,517,"30.26","Galictis vittata"
234,2,425,"21.94","Leipoa ocellata"
235,3,928,"193.28","Papio cynocephalus"
236,3,864,"47.31","Uraeginthus angolensis"
237,1,437,"53.23","Damaliscus dorcas"
238,1,544,"7.58","Phalacrocorax albiventer"
239,2,961,"93.76","Varanus sp."
240,1,186,"111.42","Pycnonotus nigricans"
241,1,972,"112.02","Cygnus atratus"
242,3,938,"124.89","Oryx gazella"
243,2,886,"42.96","Junonia genoveua"
244,1,392,"41.98","Psittacula krameri"
245,2,928,"85.7","unavailable"
246,2,936,"73.55","Limosa haemastica"
247,3,956,"48.57","Pseudalopex gymnocercus"
248,1,494,"97.53","Redunca redunca"
249,1,424,"98.57","Crotalus triseriatus"
250,2,9,"24.81","Pelecanus occidentalis"
251,1,42,"165.68","Felis wiedi or Leopardus weidi"
252,3,415,"51.55","Boa constrictor mexicana"
253,3,639,"185.82","Pteropus rufus"
254,1,291,"164.26","Centrocercus urophasianus"
255,2,696,"25.61","Rhea americana"
256,3,483,"21.2","Gopherus agassizii"
257,2,479,"5.7","Thalasseus maximus"
258,3,965,"24.39","Bucorvus leadbeateri"
259,3,838,"103.02","Cacatua tenuirostris"
260,1,48,"26.37","Felis concolor"
261,2,112,"94.03","Casmerodius albus"
262,3,879,"37.74","Oreamnos americanus"
263,2,479,"146.58","Ephippiorhynchus mycteria"
264,3,381,"59.74","Felis libyca"
265,1,149,"122.77","Dasyurus viverrinus"
266,2,621,"153.37","Recurvirostra avosetta"
267,3,498,"73.85","Fulica cristata"
268,3,749,"168.02","Raphicerus campestris"
269,1,963,"137.49","Xerus sp."
270,1,100,"56.09","Meleagris gallopavo"
271,3,153,"170.54","Bettongia penicillata"
272,3,979,"51.86","Carduelis pinus"
273,3,334,"194.13","Canis lupus baileyi"
274,2,215,"110.8","Geochelone radiata"
275,1,441,"67.77","Kobus defassa"
276,1,424,"3.09","Chordeiles minor"
277,2,40,"187.8","Kobus leche robertsi"
278,3,508,"46.25","Sciurus vulgaris"
279,3,171,"103.24","Pavo cristatus"
280,3,98,"80.43","Varanus sp."
281,2,498,"184.74","Castor canadensis"
282,3,985,"132.59","Spermophilus armatus"
283,2,818,"62.36","Ramphastos tucanus"
284,3,251,"80.31","Psittacula krameri"
285,2,959,"194.67","Toxostoma curvirostre"
286,2,453,"57.46","Bison bison"
287,1,825,"71.83","Bassariscus astutus"
288,2,549,"18.46","Varanus komodensis"
289,2,287,"107.05","Mephitis mephitis"
290,2,642,"10.74","Dusicyon thous"
291,2,321,"134.15","Balearica pavonina"
292,1,223,"119.49","Spermophilus parryii"
293,3,755,"125.64","Tockus flavirostris"
294,1,783,"161.1","Eolophus roseicapillus"
295,2,173,"75.83","Catharacta skua"
296,3,96,"71.48","Calyptorhynchus magnificus"
297,2,918,"87.28","Manouria emys"
298,2,450,"37.96","Plectopterus gambensis"
299,1,987,"190.82","Canis aureus"
300,1,244,"158.2","Ictonyx striatus"
301,2,541,"125.92","Caiman crocodilus"
302,2,82,"133.81","Cebus apella"
303,1,981,"116.36","Canis mesomelas"
304,1,107,"92.51","Trichoglossus haematodus moluccanus"
305,1,690,"91.58","Sagittarius serpentarius"
306,2,751,"27.35","Hydrochoerus hydrochaeris"
307,3,7,"41.62","Psittacula krameri"
308,3,224,"131.17","Helogale undulata"
309,1,689,"13.98","Cordylus giganteus"
310,3,533,"18.23","Cordylus giganteus"
311,3,437,"107.28","Rhabdomys pumilio"
312,2,644,"30.95","Kobus defassa"
313,1,325,"193.43","Prionace glauca"
314,2,843,"176.43","Gyps bengalensis"
315,2,265,"81.53","Oreamnos americanus"
316,2,544,"191.93","Mustela nigripes"
317,3,584,"121.77","Otaria flavescens"
318,3,437,"144.63","Herpestes javanicus"
319,3,706,"21.81","Cacatua tenuirostris"
320,1,778,"185.57","Pelecans onocratalus"
321,2,936,"163.76","Oryx gazella"
322,2,543,"109.76","Eubalaena australis"
323,3,677,"36.67","Morelia spilotes variegata"
324,3,478,"45.48","Ctenophorus ornatus"
325,1,689,"150.15","Vanessa indica"
326,3,34,"3.31","Felis pardalis"
327,3,907,"99.83","Herpestes javanicus"
328,1,790,"11.67","Bison bison"
329,1,770,"120.83","Loris tardigratus"
330,1,854,"187.12","Chauna torquata"
331,3,788,"63.99","Acrobates pygmaeus"
332,2,821,"163.56","Colobus guerza"
333,3,549,"23.46","Streptopelia senegalensis"
334,3,868,"192.71","Tockus flavirostris"
