orderid,foodid,amount
1366,333,2
1045,333,7
1185,256,1
1020,333,4
1498,258,1
1100,258,3
1072,326,2
1254,310,6
1255,310,3
1477,310,4
1452,333,4
1064,256,5
1377,256,8
1008,258,6
1135,256,6
1307,256,4
1172,310,1
1255,258,5
1131,256,4
1254,333,1
1208,256,5
1460,256,4
1248,319,3
1312,310,3
1273,319,10
1473,258,4
1216,319,6
1038,256,9
1401,333,7
1345,258,2
1395,310,5
1369,333,4
1191,256,10
1017,310,10
1155,256,9
1301,256,3
1392,326,2
1324,326,8
1170,310,9
1406,258,1
1094,256,2
1207,333,10
1163,258,2
1498,310,5
1343,319,6
1160,310,2
1227,319,1
1340,258,1
1074,258,8
1084,333,7
1005,333,5
1060,319,9
1476,319,8
1092,258,1
1274,319,6
1069,333,4
1306,319,5
1018,310,2
1211,256,4
1046,310,9
1440,258,9
1012,256,5
1109,310,5
1441,326,2
1471,256,4
1325,310,3
1455,256,5
1061,310,6
1481,326,5
1230,310,7
1449,256,5
1244,319,1
1167,258,5
1234,319,10
1006,256,1
1448,333,7
1199,258,7
1382,258,4
1316,258,1
1104,326,8
1077,333,5
1157,310,5
1229,319,3
1083,319,4
1156,258,1
1375,256,7
1186,326,3
1133,310,4
1163,310,1
1226,319,6
537,258,1
1323,319,3
1271,258,9
1289,319,6
1086,310,5
