orderid,foodid,amount
1397,420,5
1100,640,3
1382,461,9
1271,674,10
1185,461,5
1430,665,8
1330,443,4
1456,537,7
1189,600,8
1242,258,2
1019,388,3
1415,310,3
1109,443,2
1476,622,1
1087,355,8
1136,310,1
1394,668,10
1195,408,9
1374,506,4
1106,408,2
1330,668,10
1013,506,1
1365,662,1
1388,333,10
1032,443,5
1406,408,5
1391,326,6
1394,576,5
1409,665,4
1397,333,4
1043,668,5
1194,601,8
1237,319,9
1440,506,8
1136,665,3
1155,443,8
1139,326,1
1252,461,10
1016,622,2
1492,355,2
1313,600,10
1367,381,4
1032,589,3
1218,408,6
1083,506,1
1326,674,10
1360,333,10
1098,569,7
1010,601,3
1209,419,10
1146,355,3
1250,600,6
1104,662,1
1326,472,6
1352,589,3
1478,355,6
1394,472,4
1051,459,6
1010,569,9
1156,632,9
1172,622,7
1233,674,4
1340,256,5
1004,355,1
1081,443,9
1457,326,9
1494,640,3
1209,408,1
1377,589,8
1422,665,1
1260,589,1
1359,258,3
1180,420,8
1033,472,2
1131,601,5
1298,472,10
1264,640,4
1395,361,6
1313,256,8
1410,601,8
1216,600,3
1008,472,3
1240,355,2
517,414,1
1468,319,8
1048,408,1
1420,553,3
1039,589,1
1463,506,8
1045,310,7
1063,665,5
1073,459,3
684,674,7
1338,622,2
1303,408,10
1129,472,7
1210,310,3
1235,459,6
1151,420,10
1155,461,9
1448,537,2
1024,589,6
1133,408,10
1362,674,7
1164,506,1
1109,408,10
1406,326,5
1091,569,2
1463,674,3
1078,668,6
1449,420,9
1020,319,10
1139,674,9
1014,414,7
1101,443,1
1191,632,1
1344,361,3
1386,537,2
1100,355,7
1264,553,9
1076,553,8
1342,662,7
1152,258,2
1166,665,10
1036,506,8
237,674,2
1329,408,4
1108,537,10
1217,414,2
1208,361,1
1164,419,8
1031,576,1
1316,668,4
1396,326,3
1155,536,1
1217,326,4
1129,333,4
1259,355,3
1185,506,5
502,472,2
684,665,10
1454,414,10
1210,256,6
1173,258,7
1224,589,10
1256,472,6
1104,589,1
1493,569,3
1241,459,10
1043,258,10
1240,333,7
1138,319,4
1493,326,8
1339,419,4
1405,640,1
1191,576,4
1015,443,9
1079,632,6
1138,576,9
1239,388,9
1128,640,7
1061,472,3
1123,536,9
1108,326,3
1323,537,3
1082,662,7
1238,632,7
1240,408,8
1023,576,2
1182,662,6
1103,319,3
1477,601,4
1118,662,7
1090,355,9
1145,326,7
1265,355,10
1295,443,6
1331,388,10
1124,414,5
1309,506,7
517,461,8
1137,256,6
1195,506,6
1090,665,1
1439,674,9
1114,310,7
1415,419,7
1121,256,10
1039,326,10
1047,662,10
1469,420,9
1136,553,1
1218,632,7
1293,632,8
1462,388,7
1490,553,3
1035,420,4
1023,600,4
1031,388,9
1259,459,7
1315,443,1
1178,326,8
1314,674,8
1465,443,6
1065,420,1
1390,326,9
1096,640,7
1229,388,1
1480,256,6
1353,459,3
1190,310,2
1298,333,1
1249,472,8
1345,536,2
1027,537,8
1054,506,10
1038,388,8
1327,589,9
1427,355,10
1344,461,1
1225,536,2
1405,576,3
1069,326,5
1079,461,9
1496,584,2
1195,553,3
1001,333,5
1093,355,8
1269,333,8
1105,388,3
1331,662,3
537,461,8
1315,258,10
1382,381,1
1019,632,1
1050,420,2
1044,665,10
1146,662,2
1293,668,1
1089,333,6
1204,537,6
1116,569,3
1432,662,3
1415,333,5
1035,569,4
1306,537,9
1026,388,1
1261,461,10
1378,584,4
1477,459,9
1104,256,5
1029,459,3
1415,632,2
1160,420,9
1004,472,1
1032,662,6
1052,408,6
1314,569,5
1492,632,6
237,414,1
1371,420,2
1490,420,9
1041,668,9
1041,461,7
1358,584,4
1446,632,8
1122,662,7
1366,319,6
1201,420,3
1052,665,4
1371,601,7
1003,584,9
1200,361,1
1369,408,3
1162,361,1
1497,589,10
1219,419,10
1005,355,4
1422,584,5
1425,381,10
1406,443,9
1327,310,7
1315,333,3
1323,408,2
1399,459,3
1145,506,5
1075,419,7
1087,408,4
1338,388,4
1162,632,9
1489,553,10
684,632,5
1123,569,8
1208,419,3
1263,355,5
1296,600,2
1178,569,5
1081,310,6
1203,256,10
1202,388,6
1375,601,4
1289,665,4
1405,622,10
1153,256,7
1469,319,5
1061,408,1
1306,665,7
1170,553,2
1360,326,1
1406,472,8
1072,381,9
1359,319,9
1094,600,10
1227,600,2
1201,662,3
1141,388,7
1293,569,1
1272,601,9
1278,319,7
1417,355,10
517,333,10
1158,537,7
1284,388,5
131,472,10
1318,589,5
1077,536,8
1106,600,2
1226,569,1
1309,553,3
1301,662,2
842,472,1
1114,600,8
1059,361,1
1162,414,3
1054,319,2
502,622,4
1255,414,4
1220,600,9
1460,419,6
1414,589,7
1388,674,9
1231,414,10
1247,381,9
1240,361,6
1428,310,10
1372,461,6
3,589,3
1042,584,3
1370,589,1
1196,601,5
1281,258,9
1047,258,7
1367,662,6
1180,419,3
1033,443,5
1409,662,8
1089,472,5
1142,601,3
1087,326,5
1367,668,1
1214,640,5
1141,419,7
1077,506,2
1098,632,7
1360,319,1
1047,640,1
1097,640,8
1072,640,4
1308,355,1
237,381,9
1023,674,10
1301,443,9
1124,333,10
1355,576,3
1203,355,3
1434,388,9
1083,310,1
1214,420,5
1491,333,9
1449,601,4
1377,662,10
1237,420,2
1140,569,5
1490,326,10
1154,662,5
1481,414,5
1097,665,2
1011,600,7
1416,414,9
1256,662,3
1239,632,5
1025,388,10
1067,459,6
1310,419,1
1282,640,3
1097,584,7
1022,388,9
1134,419,3
1045,388,1
1237,355,1
1127,640,8
1389,622,2
1047,461,1
1343,506,7
1474,537,6
1261,361,9
1101,414,9
1076,536,8
1312,632,9
1164,420,8
1209,569,6
1033,459,10
1004,256,3
1287,601,8
1005,553,5
1094,640,1
1379,584,1
1085,601,7
1192,662,6
1352,420,1
1066,310,7
1417,589,8
1232,600,8
1155,553,4
1097,310,3
1249,600,6
1411,459,4
1284,326,6
1064,668,1
1363,640,9
1345,443,9
1072,601,3
1049,668,5
1417,310,6
1096,600,1
1248,506,1
1361,584,5
1287,388,4
1457,589,5
1020,662,9
1123,674,5
1198,668,3
1113,589,4
1499,553,6
1450,569,3
1263,319,9
1120,632,5
1193,361,6
1133,381,2
1357,326,6
1002,420,9
1108,589,2
1381,569,9
1015,674,1
1301,310,3
1111,506,1
915,333,7
1262,443,1
1161,622,4
1418,632,2
1263,461,7
1148,388,7
1376,589,9
1082,576,1
1043,589,7
691,576,8
1382,576,10
1154,408,10
1305,361,2
1207,408,7
1468,662,3
1073,665,8
1045,381,5
1102,361,10
1487,632,8
1439,506,6
1487,414,2
1253,258,8
1137,258,1
1425,319,9
1310,443,1
1225,414,8
1027,319,9
1222,310,6
1356,461,8
1264,461,8
1165,319,4
