restaurantid,customerId,total,is_delivery,dateoforder
695,453,1221.34,true,2023-12-14
869,117,50.24,true,2023-12-02
678,263,1455.19,true,2023-12-18
925,380,1128.04,true,2023-12-15
1001,147,68.85,true,2023-12-16
527,37,1170.72,true,2023-12-15
808,70,1329.26,true,2023-12-31
941,498,1101.29,true,2023-12-02
790,68,893.24,true,2023-12-27
704,155,185.79,true,2023-12-26
758,185,1304.18,true,2023-12-05
857,119,1261.5,true,2023-12-30
637,333,675.94,true,2023-12-29
878,329,444.44,true,2023-12-02
1001,18,1143.28,true,2023-12-08
608,226,752.7,true,2023-12-30
770,313,345.05,true,2023-12-29
543,293,1082.77,true,2023-12-05
703,96,1575.96,true,2023-12-12
728,326,1087.0,true,2023-12-05
980,110,579.73,true,2023-12-30
821,182,109.9,true,2023-12-25
509,16,1674.48,true,2023-12-15
788,293,1188.79,true,2023-12-29
541,292,307.01,true,2023-12-17
921,348,1487.74,true,2023-11-30
699,17,1223.67,true,2023-12-17
965,288,1835.9,true,2023-12-29
937,243,1422.28,true,2023-12-21
713,188,319.09,true,2023-12-29
622,411,179.49,true,2023-12-18
674,420,137.54,true,2023-12-11
724,392,1403.55,true,2023-12-18
514,127,781.84,true,2023-12-22
826,87,621.91,true,2023-11-30
515,284,490.61,true,2023-12-07
693,132,11.96,true,2023-12-07
878,158,850.84,true,2023-12-24
560,471,577.75,true,2023-12-09
802,249,1412.37,true,2023-12-23
654,120,12.25,true,2023-12-31
640,18,580.3,true,2023-12-29
875,31,1198.92,true,2023-11-30
907,372,1696.32,true,2023-12-04
730,116,351.71,true,2023-12-23
717,438,1017.04,true,2023-12-08
802,72,705.28,true,2023-12-02
682,257,353.15,true,2023-12-23
946,266,1435.05,true,2023-12-14
779,443,1395.6,true,2023-12-30
535,105,290.64,true,2023-12-05
583,491,471.59,true,2023-12-06
937,43,817.63,true,2023-12-26
525,467,580.21,true,2023-12-04
695,463,893.03,true,2023-12-23
583,200,975.57,true,2023-12-17
864,492,1054.4,true,2023-12-10
562,49,569.01,true,2023-12-28
581,433,1563.37,true,2023-12-31
710,304,102.56,true,2023-12-19
833,178,251.86,true,2023-12-15
524,395,1443.98,true,2023-12-28
844,146,1297.78,true,2023-12-06
943,487,1971.8,true,2023-12-06
843,117,1864.1,true,2023-12-14
576,446,1839.33,true,2023-12-03
579,444,1475.04,true,2023-12-10
901,336,1684.43,true,2023-12-13
968,350,578.6,true,2023-12-20
970,162,664.41,true,2023-12-17
647,412,1920.62,true,2023-12-15
735,489,528.62,true,2023-12-17
859,115,1697.07,true,2023-12-12
967,189,1696.6,true,2023-12-04
939,229,1721.61,true,2023-12-23
767,305,1070.87,true,2023-12-09
820,145,1055.94,true,2023-12-25
749,292,543.05,true,2023-12-06
964,354,18.43,true,2023-12-16
741,287,1781.11,true,2023-12-22
661,339,1039.23,true,2023-12-15
618,403,1980.9,true,2023-12-19
968,174,882.99,true,2023-12-28
972,15,1101.75,true,2023-11-30
922,450,1100.11,true,2023-12-03
926,366,1338.4,true,2023-12-12
601,313,600.48,true,2023-12-08
902,100,337.36,true,2023-12-18
1004,223,1842.82,true,2023-12-10
539,248,640.65,true,2023-12-11
982,169,1741.15,true,2023-12-23
620,340,43.81,true,2023-12-11
688,244,1002.91,true,2023-12-13
629,475,1854.73,true,2023-12-27
911,288,1111.06,true,2023-12-07
566,232,1856.3,true,2023-12-16
967,61,68.2,true,2023-12-02
789,316,1220.82,true,2023-12-30
567,91,1564.26,true,2023-11-30
690,314,1448.98,true,2023-12-07
921,245,1737.64,true,2023-12-30
828,486,1496.98,true,2023-12-06
823,190,319.49,true,2023-12-24
853,435,1850.83,true,2023-12-29
942,284,1004.82,true,2023-12-30
795,94,1209.44,true,2023-12-14
514,357,662.61,true,2023-12-02
659,160,1107.27,true,2023-12-20
945,405,928.94,true,2023-12-10
707,443,1489.18,true,2023-12-08
829,36,1001.28,true,2023-12-26
931,216,139.78,true,2023-12-05
1007,88,5.98,true,2023-12-11
781,357,194.53,true,2023-12-24
985,406,1541.38,true,2023-12-06
846,110,1419.17,true,2023-12-31
775,391,9.95,true,2023-12-25
520,182,1594.18,true,2023-12-19
761,239,753.14,true,2023-12-30
969,249,902.24,true,2023-12-11
919,119,1301.2,true,2023-12-10
644,338,1345.03,true,2023-12-07
547,456,1642.9,true,2023-12-26
890,350,308.89,true,2023-12-18
516,137,1177.08,true,2023-12-24
618,95,412.38,true,2023-12-23
639,176,1269.78,true,2023-11-30
779,431,822.82,true,2023-12-26
589,399,1947.55,true,2023-12-15
702,71,184.11,true,2023-12-15
552,76,733.73,true,2023-12-30
896,186,1613.75,true,2023-12-20
650,177,1404.19,true,2023-12-09
896,364,1663.22,true,2023-12-10
663,426,1818.76,true,2023-12-27
827,34,1220.24,true,2023-12-01
591,266,19.31,true,2023-12-17
888,299,233.49,true,2023-12-15
723,73,1449.05,true,2023-12-03
676,155,31.29,true,2023-12-25
651,317,1556.88,true,2023-12-05
653,335,817.46,true,2023-12-31
667,309,615.75,true,2023-12-06
518,108,1052.17,true,2023-12-25
799,114,1343.63,true,2023-12-18
