restaurantid,customerId,total,is_delivery,dateoforder
863,281,1431.45,false,2019-08-11
909,221,1327.86,false,2019-11-24
573,52,1560.05,false,2023-12-12
621,2,146.55,false,2022-09-07
625,420,1478.83,false,2024-09-06
738,340,699.1,false,2021-01-23
573,437,206.87,true,2019-08-25
860,112,1737.82,false,2021-08-15
663,361,1812.93,false,2021-08-30
787,489,1669.64,true,2022-09-24
766,302,139.34,true,2020-04-16
1004,143,109.95,false,2020-08-24
725,463,1657.27,true,2021-05-01
635,225,480.0,false,2022-09-21
760,378,1458.73,false,2020-11-14
959,471,879.8,true,2024-10-13
588,317,1683.68,true,2023-08-11
618,170,351.89,true,2019-12-21
615,15,1364.98,false,2022-11-07
844,276,1870.78,false,2024-01-21
701,247,1472.25,false,2020-11-19
682,133,148.26,false,2020-10-15
520,88,151.13,true,2024-02-29
721,371,1823.61,false,2024-01-16
766,144,732.12,false,2023-03-01
667,359,1776.55,true,2022-07-28
990,471,1453.27,false,2021-11-20
712,7,600.03,true,2024-05-08
703,222,572.15,false,2020-10-06
923,409,1261.47,false,2022-07-09
832,402,409.08,false,2021-01-28
710,397,1497.19,false,2019-12-25
526,203,160.36,true,2019-08-19
782,108,236.86,true,2022-11-30
822,181,212.83,false,2024-08-09
856,400,459.93,false,2021-06-14
763,79,1201.27,false,2019-01-27
966,374,1129.32,false,2022-07-17
912,191,1154.33,true,2024-02-24
909,239,1777.93,true,2023-12-13
984,349,1890.67,false,2021-02-23
594,429,65.28,false,2022-01-13
999,499,751.04,true,2020-10-19
966,432,567.56,true,2020-01-18
914,140,1225.08,false,2021-02-09
974,492,1668.81,true,2022-02-11
942,410,177.32,false,2021-01-31
682,498,1320.07,false,2019-12-04
913,253,395.6,false,2021-08-04
723,39,538.93,true,2022-10-20
730,234,1215.13,false,2023-06-16
541,395,209.22,false,2021-01-15
889,86,1286.18,false,2021-01-03
709,481,681.91,false,2024-01-08
807,285,527.18,false,2024-01-08
593,435,342.88,true,2024-08-01
968,191,1442.41,false,2019-11-10
788,481,30.87,false,2022-07-16
984,286,582.38,false,2022-08-09
600,199,125.28,true,2020-07-14
971,91,1346.71,false,2021-02-08
585,328,646.99,false,2023-11-07
522,498,1551.19,false,2022-04-24
616,58,186.92,false,2024-02-20
1002,335,418.66,false,2020-06-19
715,41,830.63,false,2019-01-05
695,367,1994.75,false,2022-01-15
569,29,1995.65,true,2019-10-25
756,261,1166.11,true,2024-03-07
751,390,850.29,false,2019-07-15
610,168,1966.82,false,2019-09-13
858,204,197.19,true,2021-08-26
832,78,1990.39,true,2021-04-18
898,53,171.75,true,2019-10-04
611,241,682.63,false,2021-05-10
977,12,926.34,false,2022-11-09
537,270,1354.72,true,2024-07-10
572,221,1890.91,true,2023-01-04
662,95,386.13,true,2022-04-09
816,226,669.83,false,2019-04-20
563,447,330.86,false,2023-01-15
510,332,1050.21,false,2019-08-29
993,500,878.92,false,2021-10-26
512,72,455.06,true,2023-10-31
